Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
Decision to Leave,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.,Park Chan-wook,"Park Chan-wook,Chung Seo-kyung","Crime,Drama,Mystery",R,2022.0,139.0,7.3,50.0,10.0,2.18,22.582,10.16.2022,0.096,-7.82
Logan Lucky,Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,Steven Soderbergh,Jules Asner,"Action,Comedy,Crime",PG-13,2017.0,118.0,7.0,159.0,29.0,27.781,48.454,08.20.2017,7.6,-1.2190000000000012
Desperado,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,Robert Rodriguez,Robert Rodriguez,"Action,Crime,Drama",R,1995.0,104.0,7.1,195.0,7.0,25.405,25.405,08.27.1995,7.91,18.405
Mona Lisa Smile,A free-thinking art professor teaches conservative 1950s Wellesley girls to question their traditional social roles.,Mike Newell,"Lawrence Konner,Mark Rosenthal",Drama,PG-13,2003.0,117.0,6.5,88.0,65.0,63.861,141.338,12.21.2003,11.528,-1.139000000000003
Colossal,"Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",Nacho Vigalondo,Nacho Vigalondo,"Comedy,Drama,Fantasy",R,2016.0,109.0,6.2,68.0,15.0,3.029,4.531,04.09.2017,0.12,-11.971
Boyz n the Hood,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",John Singleton,John Singleton,"Crime,Drama",R,1991.0,112.0,7.8,151.0,6.5,57.504,57.529,07.14.1991,10.023,51.004
The Peanut Butter Falcon,Zak runs away from his care home to make his dream of becoming a wrestler come true.,"Michael Schwartz,Tyler Nilson","Michael Schwartz,Tyler Nilson","Adventure,Comedy,Drama",PG-13,2019.0,97.0,7.6,99.0,6.2,20.457,133.031,08.11.2019,0.205,14.257
She Said,Jodi Kantor and Megan Twohey's quest to break the Harvey Weinstein scandal.,Maria Schrader,"Rebecca Lenkiewicz,Jodi Kantor,Megan Twohey","Drama,History",R,2022.0,129.0,7.3,36.0,32.0,5.826,13.935,11.20.2022,2.217,-26.174
Gattaca,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Andrew Niccol,Andrew Niccol,"Drama,Sci-Fi,Thriller",PG-13,1997.0,106.0,7.7,318.0,36.0,12.533,12.533,10.26.1997,4.32,-23.467
Game Night,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,"John Francis Daley,Jonathan Goldstein",Mark Perez,"Action,Adventure,Comedy",R,2018.0,100.0,6.9,251.0,37.0,69.268,117.768,02.25.2018,17.005,32.268
Ticket to Paradise,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,Ol Parker,"Ol Parker,Daniel Pipski","Comedy,Romance",PG-13,2022.0,104.0,6.1,60.0,60.0,68.276,168.768,10.23.2022,16.509,8.275999999999996
Licence to Kill,A vengeful James Bond goes rogue to infiltrate and take down the organization of a drug lord who has murdered his friend's new wife and left him near death.,John Glen,"Ian Fleming,Michael G. Wilson,Richard Maibaum","Action,Adventure,Thriller",PG-13,1989.0,133.0,6.6,110.0,32.0,34.667,156.167,07.16.1989,8.775,2.6670000000000016
Ronin,A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.,John Frankenheimer,"David Mamet,J.D. Zeik","Action,Crime,Thriller",R,1998.0,122.0,7.2,192.0,55.0,41.616,41.616,09.27.1998,12.698,-13.384
A Christmas Story,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.",Bob Clark,"Bob Clark,Jean Shepherd,Leigh Brown","Comedy,Family",PG,1983.0,93.0,7.9,163.0,3.3,20.778,20.792,11.20.1983,2.072,17.477999999999998
The Menu,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",Mark Mylod,"Will Tracy,Seth Reiss","Comedy,Horror,Thriller",R,2022.0,107.0,7.2,363.0,35.0,38.501,79.628,11.20.2022,9.005,3.5009999999999977
Midsommar,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,Ari Aster,Ari Aster,"Drama,Horror,Mystery",R,2019.0,148.0,7.1,380.0,9.0,27.426,48.059,07.07.2019,6.56,18.426
Renfield,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.",Chris McKay,"Ava Tramer(uncredited),Ava Tramer,Robert Kirkman,Ryan Ridley","Comedy,Fantasy,Horror",R,2023.0,93.0,6.4,82.0,65.0,17.153,26.349,04.16.2023,8.026,-47.847
Death on the Nile,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",Kenneth Branagh,"Michael Green,Agatha Christie","Crime,Drama,Mystery",PG-13,2022.0,127.0,6.3,178.0,90.0,45.63,137.307,02.13.2022,12.891,-44.37
Downsizing,"A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",Alexander Payne,"Jim Taylor,Alexander Payne","Drama,Fantasy,Sci-Fi",R,2017.0,135.0,5.8,120.0,68.0,24.45,55.004,12.24.2017,4.954,-43.55
PAW Patrol: The Mighty Movie,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups",Cal Brunker,"Bob Barlen,Shane Morris,Cal Brunker","Animation,Action,Adventure",PG,2023.0,88.0,6.0,3.7,30.0,65.231,194.131,10.01.2023,22.764,35.230999999999995
Sixteen Candles,"A girl's ""sweet"" sixteenth birthday is anything but special: her family forgets about it, and she suffers from every embarrassment possible.",John Hughes,John Hughes,"Comedy,Romance",PG,1984.0,93.0,7.0,124.0,6.5,23.686,23.686,05.06.1984,4.462,17.186
Home for the Holidays,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",Jodie Foster,"W.D. Richter,Chris Radant","Comedy,Drama,Romance",PG-13,1995.0,103.0,6.6,14.0,20.0,17.519,17.519,11.05.1995,4.008,-2.4810000000000016
The Kill Room,"A hitman, his boss, an art dealer and a money-laundering scheme that accidentally turns the assassin into an overnight avant-garde sensation, one that forces her to play the art world against the underworld.",Nicol Paone,Jonathan Jacobson,"Comedy,Thriller",R,2023.0,98.0,5.4,3.1,6.5,0.139,0.793,10.01.2023,0.083,-6.361
The Whale,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.",Darren Aronofsky,,Drama,R,2022.0,117.0,7.7,190.0,10.0,17.464,54.883,12.11.2022,0.332,7.463999999999999
The Exorcist: Believer,"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago.",David Gordon Green,"Peter Sattler,David Gordon Green,Scott Teems",Horror,R,2023.0,111.0,4.8,29.0,30.0,65.536,135.022,10.08.2023,26.498,35.536
The Last Voyage of the Demeter,A crew sailing from Varna (Bulgaria) by the Black Sea to England find that they are carrying very dangerous cargo.,André Øvredal,"Zak Olkewicz,Bragi F. Schut,Bram Stoker","Fantasy,Horror",R,2023.0,118.0,6.1,37.0,45.0,13.637,21.786,08.13.2023,6.505,-31.363
The Royal Tenenbaums,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,Wes Anderson,"Wes Anderson,Owen Wilson","Comedy,Drama",R,2001.0,110.0,7.6,309.0,21.0,52.364,71.442,12.16.2001,0.277,31.364
Peppermint,"Five years after her husband and daughter are killed in a senseless act of violence, a woman comes back from self-imposed exile to seek revenge against those responsible and the system that let them go free.",Pierre Morel,Chad St. John,"Action,Thriller",R,2018.0,101.0,6.5,69.0,25.0,35.419,53.919,09.09.2018,13.423,10.418999999999995
Fences,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",Denzel Washington,,Drama,PG-13,2016.0,139.0,7.2,116.0,24.0,57.683,64.415,12.18.2016,0.129,33.683
Midway,"The story of the Battle of Midway, told by the leaders and the sailors who fought it.",Roland Emmerich,Wes Tooke,"Action,Drama,History",PG-13,2019.0,138.0,6.7,92.0,100.0,56.847,127.421,11.10.2019,17.897,-43.153
Hostel: Part II,Three American college students studying abroad are lured to a Slovakian hostel and discover the grim reality behind it.,Eli Roth,,Horror,R,2007.0,94.0,5.5,95.0,10.2,17.609,35.728,06.10.2007,8.203,7.409000000000002
