Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
The Black Dahlia,"Two policemen see their personal and professional lives fall apart in the wake of the ""Black Dahlia"" Elizabeth Short murder investigation.",Brian De Palma,"James Ellroy,Josh Friedman","Crime,Drama,Mystery",R,2006.0,121.0,5.6,76.0,50.0,22.545,49.333,09.17.2006,10.006,-27.455
The Marksman,A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.,Robert Lorenz,"Danny Kravitz,Robert Lorenz,Chris Charles","Action,Drama,Thriller",PG-13,2021.0,108.0,5.7,42.0,23.0,15.566,23.077,01.17.2021,3.104,-7.433999999999999
Just Mercy,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,Destin Daniel Cretton,"Destin Daniel Cretton,Bryan Stevenson,Andrew Lanham","Biography,Crime,Drama",PG-13,2019.0,137.0,7.6,74.0,25.0,36.002,50.902,12.29.2019,0.108,11.002000000000002
Jack,"Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled.",Francis Ford Coppola,"James DeMonaco,Gary Nadeau","Comedy,Drama,Fantasy",PG-13,1996.0,113.0,5.8,63.0,45.0,58.621,58.621,08.11.1996,11.191,13.621000000000002
Enough,"After running away fails, a terrified woman empowers herself in order to battle her abusive husband.",Michael Apted,Nicholas Kazan,"Crime,Drama,Thriller",PG-13,2002.0,115.0,5.8,47.0,38.0,40.008,51.806,05.26.2002,14.01,2.0080000000000027
Maniac,"As he helps a young artist with her upcoming exhibition, the owner of a mannequin shop's deadly, suppressed desires come to the surface.",Franck Khalfoun,"Joe Spinell,Grégory Levasseur,Alexandre Aja","Horror,Thriller",R,2012.0,89.0,6.1,40.0,6.0,0.031,2.631,06.23.2013,0.006,-5.969
The Jungle Book,"Rudyard Kipling's classic tale of Mowgli, the orphaned jungle boy raised by wild animals, and how he becomes king of the jungle.",Stephen Sommers,"Ron Yanover,Mark Geldman,Rudyard Kipling","Adventure,Family,Romance",PG,1994.0,111.0,6.0,19.0,27.0,43.23,52.389,12.26.1994,5.13,16.229999999999997
Once Bitten,"A vampire Countess needs to drink the blood of a virgin in order to keep her eternal beauty. It seems that all is hopeless, until she bumps into Mark Kendall.",Howard Storm,"Dimitri Villard,David Hines,Jeffrey Hause","Comedy,Horror",PG-13,1985.0,94.0,5.5,16.0,3.2,10.0,10.0,11.17.1985,4.026,6.8
Naked Gun 33 1/3: The Final Insult,Frank Drebin comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.,Peter Segal,"Robert LoCash,David Zucker,Pat Proft","Comedy,Crime",PG-13,1994.0,83.0,6.5,110.0,30.0,51.133,51.133,03.20.1994,13.217,21.133000000000003
Child's Play 2,"While Andy's mother is admitted to a psychiatric hospital, the young boy is placed in foster care, and Chucky, determined to claim Andy's soul, is not far behind.",John Lafia,,"Horror,Thriller",R,1990.0,84.0,5.9,57.0,13.0,28.502,35.764,11.11.1990,10.719,15.502
The Score,An aging thief hopes to retire and live off his ill-gotten wealth with his lover when a young kid convinces him into doing one last heist that comes with a large payout.,Frank Oz,"Kario Salem,Daniel E. Taylor,Lem Dobbs","Action,Crime,Drama",R,2001.0,124.0,6.8,133.0,68.0,71.108,113.58,07.15.2001,19.019,3.108000000000004
Always,The spirit of a recently deceased expert pilot mentors a newer pilot while watching him fall in love with the girlfriend that he left behind.,Steven Spielberg,"Frederick Hazlitt Brennan,Dalton Trumbo,Jerry Belson","Drama,Fantasy,Romance",PG,1989.0,122.0,6.4,32.0,31.0,43.859,74.135,12.25.1989,3.713,12.859000000000002
French Kiss,A woman flying to France to confront her straying fiance gets into trouble when the charming crook seated next to her uses her for smuggling.,Lawrence Kasdan,Adam Brooks,"Comedy,Drama,Romance",PG-13,1995.0,111.0,6.6,52.0,40.0,38.897,101.983,05.07.1995,9.018,-1.1030000000000015
The Black Cauldron,A young boy and a group of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.,"Ted Berman,Richard Rich","David Jonas,Lloyd Alexander,Vance Gerry","Animation,Action,Adventure",PG,1985.0,80.0,6.3,40.0,44.0,21.289,21.289,07.28.1985,4.18,-22.711
Miracles from Heaven,Based on the incredible true story of the Beam family.,Patricia Riggen,"Christy Beam,Randy Brown","Biography,Drama,Family",PG,2016.0,109.0,7.1,28.0,13.0,61.705,74.072,03.20.2016,14.812,48.705
The Artist,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,Michel Hazanavicius,Michel Hazanavicius,"Comedy,Drama,Romance",PG-13,2011.0,100.0,7.9,247.0,15.0,44.672,133.471,11.27.2011,0.205,29.672
Friday the 13th: Part 3,Jason Voorhees stalks a group of friends who have just arrived to spend the weekend at a cabin near Crystal Lake.,Steve Miner,"Carol Watson,Martin Kitrosser,Victor Miller","Horror,Thriller",R,1982.0,95.0,5.6,59.0,2.3,36.69,36.69,08.15.1982,9.407,34.39
Sliding Doors,"A London woman's love life and career both hinge, unknown to her, on whether or not she catches a train. We see it both ways, in parallel.",Peter Howitt,Peter Howitt,"Comedy,Drama,Fantasy",PG-13,1998.0,99.0,6.7,71.0,6.0,11.842,11.842,04.26.1998,0.835,5.8420000000000005
Machete Kills,The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,Robert Rodriguez,"Marcel Rodriguez,Kyle Ward,Robert Rodriguez","Action,Comedy,Crime",R,2013.0,107.0,5.6,82.0,20.0,8.008,17.537,10.13.2013,3.837,-11.992
Swordfish,"A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him.",Dominic Sena,Skip Woods,"Action,Crime,Thriller",R,2001.0,99.0,6.5,194.0,102.0,69.773,147.08,06.10.2001,18.146,-32.227000000000004
A Midsummer Night's Dream,"Lovers' lives are complicated by city law, feuding faerie royalty, and... love.",Michael Hoffman,"Michael Hoffman,William Shakespeare","Comedy,Fantasy,Romance",PG-13,1999.0,116.0,6.4,27.0,11.0,16.072,16.072,05.16.1999,4.286,5.071999999999999
Supergirl,"After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.",Jeannot Szwarc,David Odell,"Action,Adventure,Fantasy",PG,1984.0,124.0,4.4,24.0,35.0,14.296,14.296,11.25.1984,5.738,-20.704
Serving Sara,A process server tries to serve an elusive female target.,Reginald Hudlin,"Jay Scherick,David Ronn","Comedy,Romance",PG-13,2002.0,102.0,5.3,19.0,29.0,16.93,20.146,08.25.2002,5.758,-12.07
Belly,Two young friends involved in organized crime and drug dealing find that their priorities differ.,Hype Williams,"Anthony Bodden,Hype Williams,Nas","Crime,Drama",R,1998.0,96.0,6.2,12.0,3.0,9.639,9.639,11.08.1998,3.455,6.638999999999999
Return to Me,A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,Bonnie Hunt,"Bonnie Hunt,Andrew Stern,Don Lake","Comedy,Drama,Romance",PG,2000.0,115.0,6.9,22.0,24.0,32.723,36.61,04.09.2000,7.821,8.722999999999999
American Gigolo,"A Los Angeles male escort, who mostly caters to an older female clientèle, is accused of a murder which he did not commit.",Paul Schrader,Paul Schrader,"Crime,Drama,Mystery",R,1980.0,117.0,6.3,29.0,4.8,22.744,22.744,02.03.1980,3.56,17.944
Friday the 13th Part VIII: Jason Takes Manhattan,"Jason Voorhees is accidentally awakened from his watery grave, and he ends up stalking a ship full of graduating high school students headed to Manhattan, NY.",Rob Hedden,"Rob Hedden,Victor Miller","Adventure,Horror,Thriller",R,1989.0,100.0,4.5,42.0,5.0,14.344,14.344,07.30.1989,6.251,9.344
The Spy Who Dumped Me,Best friends Audrey and Morgan unwittingly become entangled in an international conspiracy when one of them discovers that the boyfriend who dumped her was actually a spy.,Susanna Fogel,"Susanna Fogel,David Iserson","Action,Adventure,Comedy",R,2018.0,117.0,6.0,82.0,40.0,33.562,75.339,08.05.2018,12.103,-6.438000000000002
The Boy,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",William Brent Bell,Stacey Menear,"Horror,Mystery,Thriller",PG-13,2016.0,97.0,6.0,100.0,10.0,35.82,73.929,01.24.2016,10.778,25.82
Flatliners,"Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife.",Niels Arden Oplev,"Ben Ripley,Peter Filardi","Drama,Horror,Mystery",PG-13,2017.0,109.0,5.2,50.0,19.0,16.883,45.158,10.01.2017,6.574,-2.117000000000001
Wonderland,"In the police investigation of a brutal crime scene, one man was at the center of it all: legendary porn star John Holmes.",James Cox,"Captain Mauzner,Todd Samovitz,James Cox","Crime,Drama,Mystery",R,2003.0,104.0,6.5,23.0,5.0,1.061,2.466,10.05.2003,0.092,-3.939
Pay It Forward,A young boy attempts to make the world a better place after his teacher gives him that chance.,Mimi Leder,"Catherine Ryan Hyde,Leslie Dixon",Drama,PG-13,2000.0,123.0,7.2,123.0,40.0,33.52,55.707,10.22.2000,9.631,-6.479999999999997
Starman,"An alien takes the form of a young Wisconsin widow's husband and makes her drive him to his departure point in Arizona. Distrustful government agents, along with a more ambivalent scientist, give pursuit in hopes of intercepting them.",John Carpenter,"Dean Riesner,Raynold Gideon,Dean Riesner(uncredited),Bruce A. Evans","Romance,Sci-Fi",PG,1984.0,115.0,7.0,51.0,22.0,28.744,28.744,12.16.1984,2.872,6.744
The Men Who Stare at Goats,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",Grant Heslov,"Peter Straughan,Jon Ronson","Comedy,War",R,2009.0,94.0,6.2,136.0,25.0,32.428,69.096,11.08.2009,12.707,7.427999999999997
Child's Play,"A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.",Lars Klevberg,"Tyler Burton Smith,Don Mancini,John Lafia","Drama,Horror,Sci-Fi",R,2019.0,90.0,5.7,56.0,10.0,29.208,44.907,06.23.2019,14.095,19.208
The Wave,"Although anticipated, no one is really ready when the mountain pass above the scenic, narrow Norwegian fjord Geiranger collapses and creates an 85-meter high violent tsunami. A geologist is one of those caught in the middle of it.",Roar Uthaug,"Harald Rosenløw-Eeg,John Kåre Raake,Martin Sundland","Action,Drama,Thriller",R,2015.0,105.0,6.6,42.0,6.0,0.177,12.975,03.06.2016,0.06,-5.823
The Forbidden Kingdom,"A discovery made by a kung fu obsessed American teen sends him on an adventure to ancient China, where he joins up with a band of martial arts warriors in order to free the imprisoned Monkey King.",Rob Minkoff,John Fusco,"Action,Adventure,Fantasy",PG-13,2008.0,104.0,6.5,109.0,55.0,52.075,128.792,04.20.2008,21.401,-2.924999999999997
Before I Fall,"February 12 is just another day in Sam's charmed life, until it turns out to be her last. Stuck reliving her last day over and over, Sam untangles the mystery around her death and discovers everything she's losing.",Ry Russo-Young,"Maria Maggenti,Lauren Oliver","Drama,Fantasy,Mystery",PG-13,2017.0,98.0,6.4,56.0,5.0,12.241,16.374,03.05.2017,4.69,7.241
Patriot Games,"When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge.",Phillip Noyce,"W. Peter Iliff,Tom Clancy,Donald E. Stewart","Action,Thriller",R,1992.0,117.0,6.8,118.0,45.0,83.352,178.052,06.07.1992,18.511,38.352
Baby Boy,"In South Central L.A., a misguided 20-year-old African-American man, a ""baby boy"", faces the commitments of real life.",John Singleton,John Singleton,"Crime,Drama,Romance",R,2001.0,130.0,6.4,16.0,16.0,28.735,29.382,07.01.2001,8.606,12.735
Death Race,Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.,Paul W.S. Anderson,"Charles B. Griffith,Paul W.S. Anderson,Robert Thom","Action,Sci-Fi,Thriller",R,2008.0,105.0,6.4,217.0,45.0,36.316,76.014,08.24.2008,12.621,-8.683999999999997
Kill List,"Nearly a year after a botched job, a hitman takes a new assignment with the promise of a big payoff for three killings. What starts off as an easy task soon unravels, sending the killer into the heart of darkness.",Ben Wheatley,"Ben Wheatley,Amy Jump","Action,Crime,Drama",R,2011.0,95.0,6.4,45.0,0.5,0.029,0.45,02.05.2012,0.01,-0.471
A Very Harold & Kumar Christmas,"Six years after their Guantanamo Bay adventure, stoner buds Harold Lee and Kumar Patel cause a holiday fracas by inadvertently burning down Harold's father-in-law's prize Christmas tree.",Todd Strauss-Schulson,"Hayden Schlossberg,Jon Hurwitz","Adventure,Comedy",R,2011.0,90.0,6.2,72.0,19.0,35.061,36.193,11.06.2011,12.954,16.061
What's Love Got to Do with It,"The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",Brian Gibson,"Kurt Loder,Tina Turner,Kate Lanier","Biography,Drama,Music",R,1993.0,118.0,7.3,24.0,15.0,39.101,39.101,06.13.1993,1.223,24.101
The Rundown,A tough aspiring chef is hired to bring home a mobster's son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.,Peter Berg,"R.J. Stewart,James Vanderbilt","Action,Adventure,Comedy",PG-13,2003.0,104.0,6.6,114.0,85.0,47.726,80.982,09.28.2003,18.554,-37.274
Dinner for Schmucks,"After he finds out that his work superiors host a dinner celebrating the idiocy of their special guests, a rising executive questions the merits of his invitation just as he befriends a man who would be the perfect guest.",Jay Roach,"David Guion,Francis Veber,Michael Handelman",Comedy,PG-13,2010.0,114.0,5.9,110.0,69.0,73.026,86.856,08.01.2010,23.528,4.025999999999996
Orgazmo,Naive young Mormon Joe Young is recruited to act in porn movies.,Trey Parker,"Trey Parker,Matt Stone,Matt Stone(uncredited)",Comedy,R,1997.0,94.0,6.1,38.0,1.0,0.602,0.602,10.25.1998,0.21,-0.398
The New Guy,A high school senior branded uncool in the ninth grade gets himself expelled so he changes his image to cool kid at the town's other high school.,Ed Decter,David Kendall,Comedy,PG-13,2002.0,88.0,5.8,37.0,13.0,29.76,31.167,05.12.2002,9.008,16.76
House on Haunted Hill,"An amusement park mogul offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",William Malone,"Robb White,Dick Beebe","Horror,Mystery,Thriller",R,1999.0,93.0,5.6,60.0,37.0,40.846,42.593,10.31.1999,15.946,3.845999999999997
The Jackal,"An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly ""faceless"" assassin from completing his next job.",Michael Caton-Jones,"Chuck Pfarrer,Kenneth Ross","Action,Crime,Drama",R,1997.0,124.0,6.4,122.0,60.0,54.93,159.33,11.16.1997,15.165,-5.07
The Midnight Meat Train,"A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters, ultimately butchering them in the most gruesome ways.",Ryûhei Kitamura,"Jeff Buhler,Clive Barker","Horror,Mystery,Thriller",R,2008.0,98.0,6.0,70.0,15.0,0.083,3.534,08.03.2008,0.034,-14.917
Bad Words,A spelling bee loser sets out to exact revenge by finding a loophole and attempting to win as an adult.,Jason Bateman,Andrew Dodge,"Comedy,Drama",R,2013.0,89.0,6.6,55.0,10.0,7.78,7.804,03.16.2014,0.113,-2.22
The House of the Devil,"In 1983, financially struggling college student Samantha Hughes takes a strange babysitting job that coincides with a full lunar eclipse. She slowly realizes her clients harbor a terrifying secret, putting her life in mortal danger.",Ti West,Ti West,"Horror,Mystery",R,2009.0,95.0,6.3,50.0,0.9,0.101,0.101,11.01.2009,0.025,-0.799
The Whole Ten Yards,"Jimmy the Tulip's (Bruce Willis) quiet new life is shaken up by his old pal Oz (Matthew Perry), whose wife (Natasha Henstridge) has been kidnapped by a Hungarian mob. The Tulip and his wife Jill (Amanda Peet) spring into action.",Howard Deutch,"George Gallo,Mitchell Kapner","Comedy,Crime,Thriller",PG-13,2004.0,98.0,5.5,58.0,40.0,16.328,26.171,04.11.2004,6.685,-23.672
Fright Night,"When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?",Craig Gillespie,"Marti Noxon,Tom Holland","Comedy,Horror",R,2011.0,106.0,6.4,112.0,30.0,18.303,41.003,08.21.2011,7.714,-11.697
The Act of Killing,"A documentary which challenges former Indonesian death-squad leaders to reenact their mass-killings in whichever cinematic genres they wish, including classic Hollywood crime scenarios and lavish musical numbers.","Joshua Oppenheimer,Anonymous,Christine Cynn",,"Documentary,Biography,Crime",R,2012.0,117.0,8.2,40.0,1.0,0.487,0.726,07.21.2013,0.027,-0.513
Poison Ivy,A seductive teen befriends an introverted high school student and schemes her way into the lives of her wealthy family.,Katt Shea,"Melissa Goddard,Katt Shea,Andy Ruben","Drama,Thriller",R,1992.0,93.0,5.4,20.0,3.0,1.83,1.83,05.10.1992,0.12,-1.17
Junior,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",Ivan Reitman,"Chris Conrad,Kevin Wade","Comedy,Romance,Sci-Fi",PG-13,1994.0,109.0,4.7,72.0,60.0,36.763,108.431,11.27.1994,9.803,-23.237
History of the World: Part I,Mel Brooks brings his one-of-a-kind comic touch to the history of mankind covering events from the Old Testament to the French Revolution in a series of episodic comedy vignettes.,Mel Brooks,Mel Brooks,"Comedy,History,Musical",R,1981.0,92.0,6.8,54.0,11.0,31.673,31.673,06.14.1981,4.793,20.673
The Loft,"Five married guys secretly share a penthouse loft in the city where they can carry out hidden affairs. The fantasy becomes a nightmare, however, when they discover a dead woman in the loft and realize one of the group must be involved.",Erik Van Looy,"Bart De Pauw,Wesley Strick","Mystery,Romance,Thriller",R,2014.0,108.0,6.3,59.0,14.0,6.003,11.02,02.01.2015,2.747,-7.997
Space Cowboys,"When retired engineer Frank Corvin (Clint Eastwood) is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",Clint Eastwood,"Ken Kaufman,Howard Klausner","Action,Adventure,Thriller",PG-13,2000.0,130.0,6.5,85.0,65.0,90.465,128.884,08.06.2000,18.094,25.465000000000003
Hairspray,A 'pleasantly plump' teenager teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,John Waters,John Waters,"Comedy,Drama,Family",PG,1988.0,92.0,7.0,23.0,2.0,6.671,6.676,02.28.1988,0.577,4.671
Secret Window,A successful writer in the midst of a painful divorce is stalked at his remote lake house by a would-be scribe who accuses him of plagiarism.,David Koepp,"Stephen King,David Koepp","Drama,Mystery,Thriller",PG-13,2004.0,96.0,6.5,207.0,40.0,48.023,92.913,03.14.2004,18.238,8.023000000000003
The Spirit,"Rookie cop Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces in Central City.",Frank Miller,"Will Eisner,Frank Miller","Action,Crime,Fantasy",PG-13,2008.0,103.0,4.7,62.0,60.0,19.806,39.164,12.28.2008,6.463,-40.194
47 Meters Down,"Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.",Johannes Roberts,"Ernest Riera,Johannes Roberts","Horror,Mystery,Thriller",PG-13,2017.0,89.0,5.6,60.0,5.3,44.307,62.198,06.18.2017,11.206,39.007000000000005
May,A socially awkward veterinary assistant with a lazy eye and obsession with perfection descends into depravity after developing a crush on a boy with perfect hands.,Lucky McKee,Lucky McKee,"Drama,Horror",R,2002.0,93.0,6.6,40.0,0.5,0.15,0.264,02.09.2003,0.035,-0.35
Congo,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",Frank Marshall,"John Patrick Shanley,Michael Crichton","Action,Adventure,Mystery",PG-13,1995.0,109.0,5.3,48.0,50.0,81.022,152.022,06.11.1995,24.643,31.02200000000001
Muriel's Wedding,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.",P.J. Hogan,P.J. Hogan,"Comedy,Drama",R,1994.0,106.0,7.2,41.0,9.0,15.12,15.486,03.12.1995,0.245,6.119999999999999
Saved!,"When a girl attending a Christian high school becomes pregnant, all of her former friends turn on her and she is ostracized and demonized.",Brian Dannelly,"Michael Urban,Brian Dannelly","Comedy,Drama",PG-13,2004.0,92.0,6.7,48.0,5.0,8.941,10.276,05.30.2004,0.345,3.9410000000000007
Maurice,"Two English school chums find themselves falling in love at Cambridge. To regain his place in society, Clive gives up Maurice and marries. While staying with Clive and his wife, Maurice discovers romance in the arms of the gamekeeper Alec.",James Ivory,"James Ivory,Kit Hesketh-Harvey,E.M. Forster","Drama,Romance",R,1987.0,140.0,7.6,23.0,1.577,2.484,2.643,09.20.1987,0.049,0.907
1941,Hysterical Californians prepare for a Japanese invasion in the days after Pearl Harbor.,Steven Spielberg,"Bob Gale,John Milius,Robert Zemeckis","Action,Comedy,War",PG,1979.0,118.0,5.8,36.0,35.0,31.756,92.456,12.16.1979,2.702,-3.244
The Last Dragon,"In New York City, a young man searches for a Master to obtain the final level of martial arts mastery known as the Glow.",Michael Schultz,Louis Venosta,"Action,Comedy,Drama",PG-13,1985.0,109.0,6.8,17.0,10.0,25.754,25.755,03.24.1985,5.254,15.754
Bride Wars,Two best friends become rivals when they schedule their respective weddings on the same day.,Gary Winick,"Greg DePaul,Casey Wilson,June Diane Raphael","Comedy,Romance",PG,2009.0,89.0,5.5,114.0,30.0,58.716,115.376,01.11.2009,21.058,28.716
Rescue Dawn,A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.,Werner Herzog,Werner Herzog,"Adventure,Biography,War",PG-13,2006.0,125.0,7.3,110.0,10.0,5.49,7.177,07.08.2007,0.11,-4.51
Big Eyes,"A drama about the awakening of painter Margaret Keane, her phenomenal success in the 1950s, and the subsequent legal difficulties she had with her husband, who claimed credit for her works in the 1960s.",Tim Burton,"Larry Karaszewski,Scott Alexander","Biography,Crime,Drama",PG-13,2014.0,106.0,7.0,98.0,10.0,14.482,29.262,12.28.2014,3.002,4.481999999999999
The Haunting in Connecticut,"After a family is forced to relocate for their son's health, they begin experiencing supernatural behavior in their new home, and uncover a sinister history.",Peter Cornwell,"Adam Simon,Tim Metcalfe","Drama,Horror,Mystery",PG-13,2009.0,92.0,5.8,65.0,10.0,55.39,77.578,03.29.2009,23.005,45.39
Safe,"Mei, a young girl whose memory holds a priceless numerical code, finds herself pursued by the Triads, the Russian mob, and corrupt NYC cops. Coming to her aid is an ex-cage fighter whose life was destroyed by the gangsters on Mei's trail.",Boaz Yakin,Boaz Yakin,"Action,Crime,Thriller",R,2012.0,94.0,6.5,116.0,30.0,17.142,41.565,04.29.2012,7.893,-12.858
Conspiracy Theory,"A taxi driver with a penchant for conspiracy theories becomes a target after one of these theories turns out to be true. Unfortunately, to save himself, he has to figure out which theory it is.",Richard Donner,Brian Helgeland,"Action,Drama,Mystery",R,1997.0,135.0,6.7,106.0,75.0,75.983,136.983,08.10.1997,19.314,0.983000000000004
Barbarian,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,Zach Cregger,Zach Cregger,"Horror,Mystery,Thriller",R,2022.0,102.0,7.0,167.0,4.5,40.843,45.352,09.11.2022,10.544,36.343
Dune,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,David Lynch,"David Lynch,Frank Herbert","Action,Adventure,Sci-Fi",PG-13,1984.0,137.0,6.3,169.0,40.0,30.926,30.98,12.16.1984,6.025,-9.074000000000002
The Witch,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",Robert Eggers,Robert Eggers,"Drama,Fantasy,Horror",R,2015.0,92.0,7.0,290.0,4.0,25.139,40.424,02.21.2016,8.8,21.139
The Fabelmans,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",Steven Spielberg,"Tony Kushner,Steven Spielberg",Drama,PG-13,2022.0,151.0,7.5,108.0,40.0,17.349,45.631,11.13.2022,0.162,-22.651
The Outsiders,"In a small Oklahoma town in 1964, the rivalry between two gangs, the poor Greasers and the rich Socs, heats up when one gang member accidentally kills a member of the other.",Francis Ford Coppola,"Kathleen Rowell,S.E. Hinton","Crime,Drama",PG,1983.0,91.0,7.0,95.0,10.0,25.837,25.839,03.27.1983,5.068,15.837
Mother!,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",Darren Aronofsky,Darren Aronofsky,"Drama,Horror,Mystery",R,2017.0,121.0,6.6,244.0,30.0,17.8,44.517,09.17.2017,7.535,-12.2
The Age of Adaline,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",Lee Toland Krieger,"Salvador Paskowitz,J. Mills Goodloe","Drama,Fantasy,Romance",PG-13,2015.0,112.0,7.2,197.0,25.0,42.63,65.663,04.26.2015,13.203,17.630000000000003
Uncle Buck,Laid back commitment-phobe Buck babysits his brother's rebellious teenage daughter and her cute younger brother and sister.,John Hughes,John Hughes,Comedy,PG,1989.0,100.0,7.1,105.0,15.0,66.759,79.259,08.20.1989,8.795,51.759
Tombstone,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.","George P. Cosmatos,Kevin Jarre(Charlton Heston scenes) (uncredited),Kevin Jarre",Kevin Jarre,"Biography,Drama,History",R,1993.0,130.0,7.8,161.0,25.0,56.505,56.505,12.26.1993,6.455,31.505000000000003
Home Alone 3,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Raja Gosnell,John Hughes,"Action,Comedy,Crime",PG,1997.0,102.0,4.6,124.0,32.0,30.883,79.083,12.14.1997,5.085,-1.1170000000000009
Silverado,A misfit bunch of friends comes together to right the injustices which exist in a small town.,Lawrence Kasdan,"Mark Kasdan,Lawrence Kasdan","Action,Crime,Drama",PG-13,1985.0,133.0,7.2,48.0,26.0,32.193,32.193,07.14.1985,3.523,6.192999999999998
Operation Fortune: Ruse de Guerre,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,Guy Ritchie,"Guy Ritchie,Marn Davies,Ivan Atkinson","Action,Comedy,Thriller",R,2023.0,114.0,6.3,77.0,50.0,6.496,49.092,03.05.2023,3.14,-43.504
About Time,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis,Richard Curtis,"Comedy,Drama,Fantasy",R,2013.0,123.0,7.8,376.0,12.0,15.323,87.1,11.03.2013,1.076,3.3230000000000004
The Nice Guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",Shane Black,"Shane Black,Anthony Bagarozzi","Action,Comedy,Crime",R,2016.0,116.0,7.4,360.0,50.0,36.262,71.262,05.22.2016,11.203,-13.738
Prince of Darkness,"A group of graduate students and scientists uncover an ancient canister in an abandoned church, but when they open the container, they inadvertently unleash a strange liquid and an evil force on all humanity.",John Carpenter,John Carpenter,Horror,R,1987.0,102.0,6.7,49.0,3.0,14.182,14.183,10.25.1987,4.657,11.182
